BFGS+LiFukushima ($\xi$=1.0)<linestyle=dashed>,BFGS+LiFukushima ($\xi$=0.8),BFGS+LiFukushima ($\xi$=0.1),BFGS+Powell ($\xi$=1.0)<linestyle=dashed>,BFGS+Powell ($\xi$=0.8),BFGS+Powell ($\xi$=0.1),preconvex+LiFukushima ($\xi$=1.0)<linestyle=dashed>,preconvex+LiFukushima ($\xi$=0.8),preconvex+LiFukushima ($\xi$=0.1),preconvex+Powell ($\xi$=1.0)<linestyle=dashed>,preconvex+Powell ($\xi$=0.8),preconvex+Powell ($\xi$=0.1),CG(HagerZhang)<linestyle=dotted>,CG(DaiYuan)<linestyle=dotted>
263,257,202,508,234,93,454,254,132,1000,290,1000,230,570
1000,526,106,1000,387,230,202,495,1000,167,437,273,144,110
286,736,162,109,206,295,304,1000,146,495,206,245,586,455
700,431,177,473,383,181,382,705,126,816,1000,343,230,198
210,179,370,131,182,121,1000,308,825,418,310,181,143,537
543,242,113,112,265,98,1000,635,146,544,692,124,152,220
459,142,423,124,159,1000,1000,1000,231,150,274,530,86,189
1000,478,1000,1000,134,1000,139,231,1000,424,1000,183,103,410
246,375,272,130,169,511,305,797,89,437,258,135,134,174
487,200,437,139,267,665,486,444,252,705,269,231,187,239
342,162,1000,381,178,95,1000,335,144,876,234,78,157,671
136,1000,168,103,139,323,1000,533,199,1000,379,298,382,290
240,218,1000,303,255,511,228,797,235,322,159,116,272,543
236,330,249,100,308,119,763,151,181,603,376,1000,112,343
230,215,132,108,135,291,952,454,150,1000,734,159,210,390
464,213,492,145,193,1000,1000,581,66,313,443,297,464,1000
291,185,466,246,445,169,948,521,1000,248,829,410,257,278
1000,711,201,1000,130,259,393,688,760,187,698,274,115,133
127,166,170,191,126,242,355,477,269,1000,175,301,144,227
107,119,209,108,294,169,1000,146,163,545,980,257,541,366
194,1000,139,71,314,196,349,287,1000,727,452,101,137,438
497,122,397,307,275,450,190,576,188,306,852,252,170,279
203,303,108,370,137,442,644,551,272,391,267,130,710,1000
103,127,119,727,255,145,195,661,250,280,209,139,1000,1000
101,440,147,277,122,277,191,315,464,274,1000,162,191,1000
142,259,109,150,327,268,225,426,285,344,1000,1000,258,325
160,1000,477,503,115,104,1000,412,429,1000,683,361,64,381
1000,436,185,151,358,88,1000,891,207,777,538,695,897,288
700,219,133,252,377,138,836,231,271,892,412,188,189,250
403,422,415,112,173,221,371,379,332,1000,1000,120,214,273
217,264,118,414,351,112,477,652,150,928,261,187,566,311
262,163,227,172,178,185,1000,232,470,411,313,209,514,1000
131,1000,253,1000,105,131,297,1000,188,349,674,184,382,909
431,155,164,801,85,247,878,545,141,924,1000,398,464,215
109,316,196,175,173,1000,551,1000,101,1000,229,212,675,435
273,537,247,99,486,122,1000,218,145,1000,743,170,276,180
148,211,801,257,202,316,1000,205,201,313,613,741,1000,93
404,485,1000,1000,132,1000,367,874,137,1000,204,119,189,263
410,122,222,168,109,118,126,1000,100,167,1000,925,255,251
434,562,287,148,197,99,1000,315,347,1000,699,332,307,403
307,162,157,130,313,906,198,578,292,422,485,180,290,1000
