BFGS+LiFukushima ($\xi$=1.0)<linestyle=dashed>,BFGS+LiFukushima ($\xi$=0.8),BFGS+LiFukushima ($\xi$=0.1),BFGS+Powell ($\xi$=1.0)<linestyle=dashed>,BFGS+Powell ($\xi$=0.8),BFGS+Powell ($\xi$=0.1),preconvex+LiFukushima ($\xi$=1.0)<linestyle=dashed>,preconvex+LiFukushima ($\xi$=0.8),preconvex+LiFukushima ($\xi$=0.1),preconvex+Powell ($\xi$=1.0)<linestyle=dashed>,preconvex+Powell ($\xi$=0.8),preconvex+Powell ($\xi$=0.1),CG(HagerZhang)<linestyle=dotted>,CG(DaiYuan)<linestyle=dotted>
69,58,46,49,45,43,62,73,47,60,68,49,50,75
67,68,76,61,86,71,72,87,66,86,100,73,65,95
57,62,55,63,51,48,63,59,52,90,67,56,57,90
68,77,70,84,65,62,95,80,63,80,76,66,72,91
52,44,50,64,50,49,64,57,49,65,54,46,61,50
82,68,63,82,79,70,114,88,66,102,100,73,65,80
65,64,60,65,84,60,83,72,80,68,66,59,57,109
84,91,68,107,81,71,119,78,84,97,92,97,90,375
45,46,42,51,43,41,50,50,52,59,59,43,42,57
53,107,50,78,77,58,104,104,80,115,87,60,78,430
52,53,45,59,53,54,78,58,57,75,65,49,53,78
57,57,47,51,57,43,70,73,48,63,55,51,62,99
57,59,55,54,53,64,71,79,53,68,62,47,59,240
69,63,50,64,57,51,75,60,55,60,64,50,58,119
82,83,61,81,84,64,119,121,77,126,86,77,88,188
74,74,74,74,87,64,96,73,68,106,91,69,72,83
59,62,54,57,54,52,72,60,55,65,60,58,53,66
49,68,56,47,52,44,53,57,49,56,59,49,43,78
75,73,61,100,76,63,74,99,67,114,102,66,68,87
91,61,51,62,62,55,73,60,61,77,70,56,66,262
68,68,45,63,65,47,70,68,62,53,72,53,54,55
61,55,53,62,64,51,90,79,52,86,73,54,62,116
61,50,55,64,66,59,53,74,59,62,58,55,59,133
71,62,56,71,69,62,67,55,57,97,58,63,60,560
44,50,44,44,45,47,51,66,58,59,53,49,51,52
68,77,63,63,70,73,91,69,61,78,73,70,63,159
54,49,41,60,49,45,52,61,46,46,52,47,47,60
59,65,68,68,71,55,79,76,66,67,71,57,60,61
35,41,41,42,40,39,45,44,39,42,39,37,39,43
64,58,61,76,69,53,74,69,71,70,81,58,65,343
63,56,54,66,67,60,65,72,63,95,90,64,52,86
51,52,40,43,49,46,56,61,53,55,55,49,50,71
44,50,33,45,46,38,49,47,44,44,44,40,45,63
68,73,55,93,72,55,85,70,64,61,105,61,57,65
48,54,41,52,52,47,49,49,45,55,48,45,44,91
76,65,65,84,81,73,116,81,59,104,79,76,60,93
90,71,63,71,67,70,90,77,76,128,84,71,84,103
89,93,66,73,98,86,154,96,90,115,99,87,77,81
56,62,62,59,64,57,71,64,59,71,71,52,53,162
91,67,62,82,80,68,70,91,75,107,82,67,78,63
96,85,84,85,77,89,127,89,64,97,118,90,71,450
46,51,39,52,50,37,50,42,41,50,58,44,41,49
62,53,43,59,51,39,57,53,51,64,56,55,52,105
117,70,90,104,107,83,114,151,96,154,115,82,93,363
48,51,47,49,56,43,53,51,49,56,57,55,51,108
59,66,50,64,54,48,71,60,51,66,63,51,56,56
77,85,64,87,68,62,91,91,63,100,97,59,69,176
70,69,54,67,77,77,98,95,63,88,83,66,64,629
40,46,40,41,39,36,48,48,42,50,50,41,47,153
52,67,57,64,73,55,103,61,57,90,74,61,58,181
45,53,50,60,53,44,75,59,52,48,60,53,56,54
59,55,55,62,57,48,68,72,50,70,57,52,57,75
100,81,65,78,96,89,79,94,105,104,108,90,96,154
51,64,58,61,68,55,77,70,64,86,114,74,58,79
47,61,47,51,62,58,53,58,58,79,63,62,53,63
62,76,54,73,67,54,99,89,56,95,71,62,59,255
45,48,45,46,55,48,55,46,50,49,54,46,42,87
55,71,60,52,71,62,80,85,73,61,81,62,67,171
74,57,58,56,65,52,81,72,60,75,77,63,59,248
70,69,57,64,60,39,57,72,55,59,60,59,47,79
87,87,83,57,83,69,89,163,78,107,111,85,79,75
66,46,54,57,62,55,76,63,51,61,70,58,67,111
80,64,77,71,76,56,84,116,58,98,112,69,94,48
120,148,100,134,135,62,179,189,98,118,140,119,123,102
63,47,58,47,58,51,80,57,49,62,64,47,58,67
62,58,48,47,63,49,60,58,47,58,58,46,55,109
